datestr,A_plus,A_minus,B_plus,B_minus,AB_plus,AB_minus,O_plus,O_minus,total
20070101,0,0,0,0,0,0,0,0,0
20070102,70,5,40,3,10,1,115,14,258
20070103,81,12,24,4,4,1,117,16,259
20070104,82,10,40,8,8,1,150,15,314
20070105,109,14,37,6,11,1,157,26,361
20070106,104,11,25,6,9,3,123,7,288
20070107,28,5,12,1,1,1,35,3,86
20070108,105,19,45,2,8,0,166,20,365
20070109,122,17,52,4,20,1,163,21,400
20070110,103,9,31,5,7,1,137,12,305
20070111,79,16,25,4,7,0,131,19,281
20070112,96,7,39,1,8,2,124,8,285
20070113,48,9,21,4,13,1,81,14,191
20070114,22,5,10,1,4,0,43,2,87
20070115,95,10,48,2,14,0,102,12,283
20070116,73,12,20,2,12,0,116,16,251
20070117,99,8,31,5,9,0,113,10,275
20070118,84,11,28,4,8,0,111,12,258
20070119,86,6,32,4,7,3,114,13,265
20070120,45,6,14,2,3,0,51,9,130
20070121,25,1,5,3,1,1,33,1,70
20070122,70,13,41,2,8,0,130,10,274
20070123,76,7,35,7,6,2,114,9,256
20070124,78,13,33,1,9,1,131,12,278
20070125,69,8,35,1,8,1,100,15,237
20070126,85,6,31,4,7,1,110,15,259
20070127,57,7,33,3,8,0,102,13,223
20070128,18,0,4,0,1,0,28,6,57
20070129,87,10,34,3,7,0,124,17,282
20070130,91,14,28,4,5,0,117,14,273
20070131,109,14,45,7,14,0,134,28,351
20070201,99,14,37,0,13,0,120,21,304
20070202,110,12,42,4,11,1,161,18,359
20070203,60,6,23,4,5,1,95,17,211
20070204,9,0,6,0,2,1,22,1,41
20070205,91,14,30,4,10,2,127,20,298
20070206,122,11,27,6,9,1,151,17,344
20070207,106,15,40,7,8,1,174,20,371
20070208,123,13,40,1,13,2,184,24,400
20070209,107,11,41,4,14,2,137,19,335
20070210,72,10,19,1,10,1,83,5,201
20070211,16,0,7,1,2,0,25,1,52
20070212,113,10,30,3,13,0,149,10,328
20070213,112,9,36,3,8,2,143,25,338
20070214,99,19,45,8,13,2,162,14,362
20070215,149,22,44,3,11,2,181,24,436
20070216,123,11,47,2,16,1,189,30,419
20070217,39,6,19,1,4,0,46,12,127
20070218,10,4,3,0,3,0,21,1,42
20070219,24,4,8,0,2,0,41,12,91
20070220,18,2,6,0,1,1,25,3,56
20070221,38,5,13,2,5,2,45,4,114
20070222,53,2,17,2,5,2,88,12,181
20070223,76,9,23,1,5,1,87,15,217
20070224,38,3,16,2,6,0,53,7,125
20070225,19,1,10,0,3,0,34,2,69
20070226,70,5,32,6,14,1,120,19,267
20070227,72,12,33,1,13,1,103,13,248
