datestr,A_minus,A_plus,AB_minus,AB_plus,B_minus,B_plus,O_minus,O_plus,total
20130101,0,1,2,3,4,5,6,7,28
20130102,0,1,2,3,4,5,6,7,28
20130103,0,1,2,3,4,5,6,7,28
20130104,0,1,2,3,4,5,6,7,28
20130105,0,1,2,3,4,5,6,7,28
20130106,0,1,2,3,4,5,6,7,28
20130107,0,1,2,3,4,5,6,7,28
20130108,0,1,2,3,4,5,6,7,28
20130109,0,1,2,3,4,5,6,7,28
20130110,0,1,2,3,4,5,6,7,28
20130111,0,1,2,3,4,5,6,7,28
20130112,0,1,2,3,4,5,6,7,28
20130113,0,1,2,3,4,5,6,7,28
20130114,0,1,2,3,4,5,6,7,28
20130115,0,1,2,3,4,5,6,7,28
20130116,0,1,2,3,4,5,6,7,28
20130117,0,1,2,3,4,5,6,7,28
20130118,0,1,2,3,4,5,6,7,28
20130119,0,1,2,3,4,5,6,7,28
20130120,0,1,2,3,4,5,6,7,28
20130121,0,1,2,3,4,5,6,7,28
20130122,0,1,2,3,4,5,6,7,28
20130123,0,1,2,3,4,5,6,7,28
20130124,0,1,2,3,4,5,6,7,28
20130125,0,1,2,3,4,5,6,7,28
20130126,0,1,2,3,4,5,6,7,28
20130127,0,1,2,3,4,5,6,7,28
20130128,0,1,2,3,4,5,6,7,28
20130129,0,1,2,3,4,5,6,7,28
20130130,0,1,2,3,4,5,6,7,28
20130131,0,1,2,3,4,5,6,7,28
20130201,0,1,2,3,4,5,6,7,28
20130202,0,1,2,3,4,5,6,7,28
20130203,0,1,2,3,4,5,6,7,28
20130204,0,1,2,3,4,5,6,7,28
20130205,0,1,2,3,4,5,6,7,28
20130206,0,1,2,3,4,5,6,7,28
20130207,0,1,2,3,4,5,6,7,28
20130208,0,1,2,3,4,5,6,7,28
20130209,0,1,2,3,4,5,6,7,28
20130210,0,1,2,3,4,5,6,7,28
20130211,0,1,2,3,4,5,6,7,28
20130212,0,1,2,3,4,5,6,7,28
20130213,0,1,2,3,4,5,6,7,28
20130214,0,1,2,3,4,5,6,7,28
20130215,0,1,2,3,4,5,6,7,28
20130216,0,1,2,3,4,5,6,7,28
20130217,0,1,2,3,4,5,6,7,28
20130218,0,1,2,3,4,5,6,7,28
20130219,0,1,2,3,4,5,6,7,28
20130220,0,1,2,3,4,5,6,7,28
20130221,0,1,2,3,4,5,6,7,28
20130222,0,1,2,3,4,5,6,7,28
20130223,0,1,2,3,4,5,6,7,28
