datestr,A_minus,A_plus,AB_minus,AB_plus,B_minus,B_plus,O_minus,O_plus,total
20130101,0,0,0,0,0,0,0,0,0
20130102,3,77,1,4,1,22,10,113,231
20130103,6,45,1,7,2,18,6,89,174
20130104,7,86,1,12,2,36,19,143,306
20130105,8,58,0,3,1,23,8,82,183
20130106,1,28,0,7,1,12,8,36,93
20130107,11,60,0,8,1,32,17,94,223
20130108,12,66,0,3,3,16,21,113,234
20130109,10,73,0,7,2,22,19,103,236
20130110,8,81,2,11,3,21,15,105,246
20130111,6,76,3,14,0,31,20,90,240
20130112,15,62,1,9,3,25,14,112,241
20130113,4,38,0,8,1,10,6,31,98
20130114,9,78,0,7,2,43,23,137,299
20130115,10,80,2,9,2,40,19,127,289
20130116,8,92,1,11,4,34,18,124,292
20130117,9,66,0,9,3,36,16,111,250
20130118,8,60,2,4,1,23,12,101,211
20130119,4,64,0,4,5,22,9,97,205
20130120,4,29,0,3,0,9,6,44,95
20130121,8,59,0,5,2,28,16,99,217
20130122,10,68,1,12,2,18,10,96,217
20130123,16,97,0,10,1,38,19,127,308
20130124,4,76,0,13,3,23,13,102,234
20130125,8,60,2,5,2,28,20,95,220
20130126,4,63,1,7,3,27,13,98,216
20130127,4,28,0,4,0,10,10,55,111
20130128,3,96,2,9,3,38,17,137,305
20130129,13,126,4,11,5,57,30,172,418
20130130,17,105,0,14,5,48,20,152,361
20130131,8,111,0,10,1,39,24,153,346
20130201,13,117,1,20,4,41,24,189,409
20130202,10,80,0,8,2,23,18,108,249
20130203,2,26,2,2,2,6,10,41,91
20130204,20,114,0,11,3,51,18,117,334
20130205,12,92,0,11,2,25,17,123,282
20130206,18,132,0,12,2,44,22,183,413
20130207,18,112,0,10,3,34,18,150,345
20130208,6,96,0,5,2,22,22,109,262
20130209,1,59,1,9,4,11,10,55,150
20130210,2,21,0,2,0,7,2,29,63
20130211,5,36,0,7,2,13,9,61,133
20130212,3,24,1,3,1,3,5,22,62
20130213,8,42,0,3,1,8,7,70,139
20130214,7,43,1,8,1,24,10,72,166
20130215,5,51,2,7,0,21,14,83,183
20130216,3,28,0,6,1,8,8,51,105
20130217,1,22,0,2,1,3,1,16,46
20130218,7,53,1,7,4,24,14,98,208
20130219,6,48,0,7,1,30,15,89,196
20130220,7,55,1,11,2,26,14,86,202
20130221,6,72,2,10,1,26,8,103,228
20130222,7,52,0,4,1,30,17,87,198
20130223,7,55,0,3,2,16,18,72,173
20130224,7,33,0,0,1,11,11,29,92
20130225,5,72,0,9,6,32,26,114,264
20130226,5,57,1,5,2,30,19,78,197
20130227,5,64,1,4,2,15,15,80,186
20130228,3,56,2,8,2,25,13,70,179
20130301,9,47,1,2,4,29,6,77,175
20130302,7,54,0,7,3,14,5,69,159
20130303,2,20,0,4,0,8,8,34,76
20130304,12,85,1,9,3,39,20,88,257
20130305,6,61,1,6,4,29,24,106,237
20130306,6,66,0,11,4,32,16,108,243
20130307,7,86,1,5,4,19,10,113,245
20130308,10,97,1,15,3,24,24,112,286
20130309,4,61,1,7,1,17,7,96,194
20130310,4,17,0,3,0,6,6,34,70
20130311,7,91,1,8,1,26,13,144,291
20130312,5,72,1,10,3,33,12,111,247
20130313,7,84,1,9,3,19,15,107,245
20130314,5,72,0,9,2,17,7,82,194
20130315,15,85,1,9,5,25,18,139,297
20130316,10,57,0,3,3,24,13,78,188
20130317,5,28,1,0,0,10,11,39,94
20130318,2,54,0,3,1,18,10,81,169
20130319,8,56,1,4,4,10,5,83,171
20130320,6,55,2,4,1,15,13,63,159
20130321,3,46,1,8,0,26,11,68,163
20130322,7,58,0,5,6,21,16,88,201
20130323,4,63,1,5,3,29,8,111,224
20130324,3,27,0,4,1,9,7,34,85
20130325,9,67,0,10,1,27,16,85,215
20130326,4,58,0,6,0,27,16,82,193
20130327,10,45,0,5,1,23,12,78,174
20130328,7,46,0,5,4,28,14,80,184
20130329,3,18,0,3,2,10,1,22,59
20130330,14,64,0,8,3,32,16,101,238
20130331,5,23,0,3,2,9,4,36,82
20130401,9,68,3,7,2,33,13,102,237
20130402,3,82,0,10,3,31,14,113,256
20130403,6,80,1,6,4,30,10,86,223
20130404,10,89,2,9,1,24,17,108,260
20130405,7,71,1,4,3,34,15,108,243
20130406,4,46,2,12,2,28,9,90,193
20130407,3,19,1,4,1,6,2,33,69
20130408,4,58,0,8,3,31,18,103,225
20130409,3,76,0,5,5,27,15,123,254
20130410,10,96,2,12,8,31,22,118,299
20130411,10,84,0,9,3,48,21,148,323
20130412,6,60,0,9,8,12,9,112,216
20130413,11,58,0,9,1,16,14,83,192
20130414,6,31,0,7,0,9,6,50,109
20130415,8,71,0,4,2,20,15,108,228
20130416,6,74,2,12,3,34,14,136,281
20130417,16,82,1,8,4,28,24,131,294
20130418,5,70,0,6,5,29,29,95,239
20130419,13,95,0,7,10,21,17,95,258
20130420,7,44,0,7,2,25,6,66,157
20130421,2,28,0,1,1,7,5,46,90
20130422,9,80,1,7,4,26,18,86,231
20130423,5,49,0,4,4,24,10,48,144
20130424,6,50,0,8,1,21,15,72,173
20130425,8,73,2,5,1,22,23,89,223
20130426,4,55,1,4,0,15,15,75,169
20130427,8,45,2,3,3,14,16,63,154
20130428,3,14,0,1,1,7,4,27,57
20130429,9,59,1,8,4,40,17,102,240
20130430,9,104,3,15,3,26,21,132,313
20130501,6,33,0,2,5,14,10,75,145
20130502,6,56,0,4,1,28,14,85,194
20130503,4,66,0,7,1,21,18,101,218
20130504,2,63,0,5,0,18,15,77,180
20130505,0,26,0,7,2,17,4,63,119
20130506,7,62,2,4,2,19,16,93,205
20130507,4,62,0,4,3,19,16,104,212
20130508,9,76,0,7,3,30,17,118,260
20130509,14,68,0,7,6,21,20,109,245
20130510,6,82,1,12,5,27,17,99,249
20130511,8,66,1,9,0,25,7,85,201
20130512,1,24,0,1,0,7,4,37,74
20130513,10,71,1,6,2,30,13,109,242
20130514,11,76,1,11,0,30,19,148,296
20130515,7,79,1,9,2,29,15,124,266
20130516,6,80,1,11,1,36,24,149,308
20130517,10,71,0,5,1,28,20,112,247
20130518,4,47,0,4,1,19,13,89,177
20130519,2,21,0,2,0,5,4,45,79
20130520,9,65,0,14,2,28,15,104,237
20130521,5,65,0,6,1,33,19,110,239
